# Andromeda
6370011761 1   324.52828231   -19.38226055 draw to epsilon
6363010441 1   327.01278833   -16.04029055 draw to delta
6362010781 1   325.27687033   -16.57772447 draw to gamma
6360012201 1   320.81830908   -16.75485662 draw to iota
6350014991 1   316.74551775   -17.15785073 draw to theta
5753022811 1   305.51184752   -14.72176291 draw to beta
# Carina
8534022771 0    96.09045406   -52.70655549 move to alpha
8535021261 1    98.84615170   -52.99138415 draw to N
8536007941 1   102.56429791   -53.64481164 draw to A
8553028831 1   119.31250725   -53.03273687 draw to chi
8579026921 1   125.72341357   -59.56963064 draw to epsilon
8595033121 1   139.39654896   -59.35339256 draw to iota
8943034471 1   154.42618449   -61.42517330 draw to q
8956043241 1   158.17173860   -61.78092487 draw to p
8965017651 1   160.90556135   -64.49176754 draw to theta
9214028421 1   153.54463864   -70.13009575 draw to omega
9200026031 1   138.35234673   -69.79441186 draw to beta
8950022721 1   146.89113246   -65.15824153 draw to upsilon
# Cassiopeia
4036028341 0    28.93609085    63.76043866 move to epsilon
4031032891 1    21.75600050    60.33117235 draw to delta
4017023191 1    14.45964882    60.81655496 draw to gamma
3663026681 1    10.39146467    56.63876649 draw to alpha
3664019851 1     2.53636154    59.25313107 draw to beta
# Centaurus
7275020741 0   200.41398703   -36.80869704 move to iota
7792023931 1   203.03114202   -39.50216807 draw to d
7797027441 1   207.65572951   -41.77901233 draw to nu
7293022151 0   211.94927501   -36.45622881 move to theta
7797027441 1   207.65572951   -41.77901233 draw to nu
7828035201 0   225.09329257   -42.17705128 move to kappa
7814037061 1   219.17272774   -42.23776770 draw to eta
7797027441 1   207.65572951   -41.77901233 draw to nu
7797027431 1   207.68492009   -42.56501338 draw to mu
8267035451 1   209.17642168   -47.37832906 draw to zeta
8663029291 1   205.26813267   -53.55962534 draw to epsilon
8240027241 1   190.63866179   -49.06105316 draw to gamma
8239024201 1   187.26249257   -50.33281129 draw to sigma
8241032351 1   182.33167455   -50.82533733 draw to delta
8242034781 1   183.15725788   -52.47127636 draw to rho
8621020021 1   170.46468911   -54.59257671 draw to pi
8973029231 1   176.85491746   -61.28119710 draw to unnamed
8976053831 1   174.16156844   -63.12227572 draw to lambda
9005039191 0   211.28683294   -60.46116309 move to beta
8663029291 1   205.26813267   -53.55962534 draw to epsilon
9007058491 1   220.27652742   -60.91393942 draw to alpha
# Cepheus
4237021681 0   307.47145360    63.05674780 move to theta
4246019671 1   311.41439591    61.90487003 draw to eta
4252018701 1   319.75246399    62.66401153 draw to alpha
4465026431 1   322.22262341    70.64207719 draw to beta
4606035841 1   355.03281543    77.73456869 draw to gamma
4277011021 1   342.58712931    66.29895019 draw to iota
3981015901 1   332.87454064    58.29285915 draw to zeta
4252018701 1   319.75246399    62.66401153 draw to alpha
3981015901 0   332.87454064    58.29285915 move to zeta
3990024311 1   333.92386926    57.13591908 draw to epsilon
3995014791 1   337.46518497    58.51027048 draw to delta
# Cetus
0050017211 0    41.06642575     3.31397562 move to gamma
0058016181 1    45.81227259     4.16187707 draw to alpha
0641009851 1    45.17725012     8.98016958 draw to lambda
0643009371 1    41.48411932    10.19153341 draw to mu
0632014911 1    37.28600056     8.54217551 draw to xi 2
0052016811 1    39.21215310     5.67324809 draw to nu
0050017211 1    41.06642575     3.31397562 draw to gamma
0046016331 1    40.10808530     0.40743428 draw to delta
5278024371 1    28.09331257   -10.24397957 draw to zeta
5274019841 1    21.23778335    -8.08666908 draw to theta
5273026571 1    17.37851150   -10.08356239 draw to eta
5261010841 1     5.09267664    -8.72121274 draw to iota
5847023331 1    11.12745729   -17.88557760 draw to beta
5855022921 1    26.24548811   -15.84708132 draw to tau
5278024371 1    28.09331257   -10.24397957 draw to zeta
# Chamaeleon
9398027141 0   124.50140078   -76.97842348 move to alpha
9401017141 1   158.91973054   -78.70390828 draw to gamma
9420015431 1   184.86952054   -79.41492356 draw to beta
9418026531 1   161.48590066   -80.63786558 draw to delta 2
9398027151 1   125.01844876   -77.54379019 draw to theta
9398027141 1   124.50140078   -76.97842348 draw to alpha
# Circinus
8707019901 0   231.21661620   -59.38544542 move to gamma
9015014451 1   221.00937533   -65.05252072 draw to alpha
8706010611 1   229.74566867   -58.86768927 draw to beta
# Columba
7063011791 0    82.96729590   -35.45767777 move to epsilon
7064013571 1    85.07989742   -34.06506447 draw to alpha
7069014821 1    87.90269835   -35.76537684 draw to beta
7066020241 1    89.54837618   -35.28234770 draw to gamma
7080021231 1    94.30278942   -35.14831268 draw to kappa
7077020601 1    95.69786330   -33.44634554 draw to delta
7069014821 0    87.90269835   -35.76537684 move to beta
7606009891 1    89.92823692   -42.81485195 draw to eta
# Coma Berenices
1454011341 0   197.72534999    17.43093944 move to alpha
1996024001 1   198.19067872    27.77812131 draw to beta
1991018951 1   186.96514673    28.16635084 draw to gamma
# Corona Australis
7421022961 0   284.99347138   -37.08071107 move to epsilon
7422017371 1   286.91582529   -37.03305420 draw to gamma
7917026531 1   287.68130409   -37.87322390 draw to alpha
7918015241 1   287.82474848   -39.30944872 draw to beta
7921028561 1   287.40822630   -40.46609635 draw to delta
7925027951 1   286.10494475   -42.06670376 draw to zeta
# Corona Borealis
2564016291 0   233.41923345    31.29762217 move to theta
2032016051 1   232.14959969    29.04214893 draw to beta
2029016901 1   233.86690476    26.65403044 draw to alpha
2036016741 1   235.88102445    26.23758126 draw to gamma
2037018271 1   237.59333740    26.01319857 draw to delta
2037018261 1   239.58920255    26.82573666 draw to epsilon
2041018051 1   240.54646354    29.80028368 draw to iota
# Corvus
6672009951 0   182.34202249   -24.83170658 move to alpha
6668009921 1   182.77039065   -22.72268676 draw to epsilon
6098017541 1   184.19131111   -17.64472814 draw to gamma
6103023951 1   187.70768432   -16.61719606 draw to delta
6683011161 1   188.84062287   -23.49843854 draw to beta
6668009921 1   182.77039065   -22.72268676 draw to epsilon
# Crater
6094015321 0   179.24065129   -17.25380209 move to eta
6096020321 1   176.42549783   -18.45340550 draw to zeta
6088021551 1   171.45284340   -17.78584712 draw to gamma
5514014231 1   170.06779438   -14.88046779 draw to delta
5512013891 1   171.38655082   -10.96119433 draw to epsilon
5510015081 1   174.40588031    -9.90474765 draw to theta
6088021551 0   171.45284340   -17.78584712 move to gamma
6649012741 1   168.14255211   -22.92637006 draw to beta
6079019011 1   165.17301990   -18.39861708 draw to alpha
5514014231 1   170.06779438   -14.88046779 draw to delta
# Crux
8979034641 0   186.91082808   -63.20133552 move to alpha
8654034221 1   188.05040935   -57.21459160 draw to gamma
8659031071 0   192.20444669   -59.78946158 move to beta
8645022631 1   184.03512992   -58.85166686 draw to delta
# Cygnus
3920019711 0   289.38169156    53.40225441 move to kappa
3555021121 1   292.54273052    51.76886095 draw to iota
3564031571 1   294.23468005    50.26264286 draw to theta
3557024861 1   296.38772429    45.17635424 draw to delta
3156022231 1   305.72316639    40.31670201 draw to gamma
2695041391 1   311.73691636    34.03790093 draw to epsilon
2702027641 1   318.43117117    30.30402718 draw to zeta
3574033471 0   310.51575354    45.34714426 move to alpha
3156022231 1   305.72316639    40.31670201 draw to gamma
2677018161 1   299.25045648    35.13368461 draw to eta
2133029641 1   292.86695193    27.99955118 draw to beta
# Delphinus
1096016841 0   308.52404934    11.36733227 move to epsilon
1100017201 1   309.60325311    14.66071466 draw to beta
1634030551 1   311.08081987    15.14222229 draw to delta
1634030561 1   311.87944134    16.19339188 draw to gamma 1
1633024421 1   310.12389855    15.97828689 draw to alpha
1100017201 1   309.60325311    14.66071466 draw to beta
# Dorado
8075017961 0    64.12694814   -51.44204964 move to gamma
8512021151 1    68.59884143   -55.00735584 draw to alpha
8514022911 1    76.45799068   -57.44879983 draw to zeta
8883016411 1    83.44692583   -62.47806419 draw to beta
8904015221 1    86.20248473   -65.72871011 draw to delta
8883016411 0    83.44692583   -62.47806419 move to beta
8896015351 1    88.55875163   -63.08839976 draw to unnamed
# Draco
3892016201 0   263.13344280    55.17171563 move to nu 1
3521018001 1   262.71312292    52.28820028 draw to beta
3523016841 1   269.25918953    51.48752322 draw to gamma
3910017101 1   268.46105711    56.86961447 draw to xi
3892016201 1   263.13344280    55.17171563 draw to nu 1
3910017101 0   268.46105711    56.86961447 move to xi
4444022391 1   288.13678350    67.69338224 draw to delta
4449026521 1   297.02339695    70.31465077 draw to epsilon
4437014911 1   275.16666190    72.74305213 draw to chi
4210010481 1   257.21131557    65.69182312 draw to zeta
4190025681 1   246.06168570    61.47222867 draw to eta
3883015431 1   240.56425938    58.51374596 draw to theta
3875016201 1   231.33606789    58.90159841 draw to iota
4174012621 1   211.22374636    64.28766537 draw to alpha
4394018701 1   188.56696102    69.68632867 draw to kappa
4392018051 1   173.12149545    69.22888782 draw to lambda
# Equuleus
1109025831 0   318.84496497    10.08514191 move to delta
0541019321 1   320.95248360     6.89097884 draw to beta
0536023541 1   319.18661719     5.32589560 draw to alpha
1108025831 1   317.80990132    10.20813076 draw to gamma
# Eridanus
5330017231 0    77.50817871    -8.73160226 move to lambda
4759016711 1    77.19076802    -5.06322581 draw to beta
4745018411 1    73.45131685    -5.42322156 draw to omega
4740019161 1    71.60710305    -3.22192582 draw to mu
4738014841 1    69.31118425    -3.31586258 draw to nu
4732019701 1    63.19245528    -6.79114309 draw to omicron 1
5311012851 1    59.72294763   -13.45614473 draw to gamma
5307013571 1    56.75406502   -12.04509996 draw to pi
5303013201 1    56.03471863    -9.70748494 draw to delta
5296015331 1    53.45841076    -9.39681400 draw to epsilon
5287010761 1    44.33252511    -8.82378956 draw to eta
5866010501 1    41.48913392   -18.49536363 draw to tau 1
5870010281 1    42.96996675   -20.92847993 draw to tau 2
6438011101 1    45.80315699   -23.55239669 draw to tau 3
5878012921 1    50.08464957   -21.69170697 draw to tau 4
5880012661 1    53.65110057   -21.57161741 draw to tau 5
6448013701 1    56.91251092   -23.19205672 draw to tau 6
6455012681 1    60.17846167   -23.96487864 draw to tau 9
6470012421 1    68.55990786   -29.72802834 draw to upsilon 1
7038015091 1    69.06810617   -30.52536003 draw to upsilon 2
7041016051 1    66.18255584   -33.97524795 draw to 43
7040015341 1    64.64823879   -33.75408614 draw to 41
7035013741 1    57.53722985   -36.14469254 draw to g
7570015861 1    57.31798381   -37.56623292 draw to f
7567011831 1    50.13507405   -43.00541269 draw to e
7563010161 1    44.74119964   -40.23145940 draw to theta
7559011601 1    40.34793372   -39.77670094 draw to iota
7558009871 1    40.12523450   -42.81277034 draw to s
8052013801 1    36.91554219   -47.62138037 draw to kappa
8055012701 1    34.29140181   -51.42692740 draw to phi
8047013211 1    29.16077342   -51.51956151 draw to chi
8478013951 1    24.59888385   -57.14294065 draw to alpha
# Fornax
6445009901 0    48.21246103   -28.92033116 move to alpha
7012010191 1    42.46537394   -32.33018155 draw to beta
6432023291 1    31.32975823   -29.20875753 draw to nu
# Gemini
1877017161 0    93.99917858    22.49989178 move to eta
1878014291 1    96.01946506    22.50329851 draw to mu
1897016391 1   101.26747155    25.11127873 draw to epsilon
2438010591 1   108.07911019    30.21356728 draw to tau
2452021671 1   112.57353618    31.74478495 draw to rho
2457024071 1   113.94567381    31.84703220 draw to alpha
1924020221 1   116.11593412    28.83896276 draw to sigma
1920021941 1   116.61675613    27.98039317 draw to beta
1916021561 1   116.39085084    24.35258556 draw to kappa
1359026721 1   110.30682654    21.94682679 draw to delta
1353015501 1   106.30137170    20.54162365 draw to zeta
1329017461 1    99.69484312    16.38230445 draw to gamma
1336018121 1    97.51543186    20.19894077 draw to nu
1878014291 1    96.01946506    22.50329851 draw to mu
1329017461 0    99.69484312    16.38230445 move to gamma
0758023571 1   101.25784026    13.20826461 draw to 30
1359026721 0   110.30682654    21.94682679 move to delta
1346013961 1   109.78918017    16.50582688 draw to lambda
# Grus
7494017481 0   328.75982409   -37.27688344 move to gamma
7995013431 1   331.80610197   -39.45238332 draw to lambda
7999015691 1   334.18033663   -41.25413737 draw to mu 1
8003013721 1   337.59176076   -43.40042102 draw to delta 1
8446016441 1   340.93954936   -46.78728832 draw to beta
8453014991 1   342.41445935   -51.21858811 draw to epsilon
8824015031 1   345.49154215   -52.65444678 draw to zeta
8438019591 0   332.34622126   -46.86949665 move to alpha
8446016441 1   340.93954936   -46.78728832 draw to beta
8448013621 1   347.84838715   -45.14600032 draw to iota
8012012481 1   346.97913028   -43.42002863 draw to theta
# Hercules
3057020211 0   238.32447746    42.39577811 e to chi
3067018421 1   242.33865152    44.88688526 draw to phi
3492019091 1   245.07457704    46.26974700 w to tau
3066022131 1   248.67520222    42.39931287 draw to sigma
3070015951 1   250.88244461    38.88859169 draw to eta
2582031581 1   250.50020000    31.56735141 draw to zeta
1518014421 1   247.75482685    21.45048577 draw to beta
1513012611 1   245.68468743    19.11044106 draw to gamma
1518014421 0   247.75482685    21.45048577 move to beta
0990021331 1   258.87305682    14.37017994 draw to alpha
3510018761 0   264.99700700    45.99722212 move to iota
2620022981 1   269.22196887    37.24898001 draw to theta
2604017771 1   261.08071543    37.12981000 draw to rho
2604017741 1   258.92333578    36.78922367 draw to pi
3070015951 1   250.88244461    38.88859169 draw to eta
2604017741 0   258.92333578    36.78922367 move to pi
2590014121 1   255.24994536    30.89995997 draw to epsilon
2582031581 1   250.50020000    31.56735141 draw to zeta
2590014121 0   255.24994536    30.89995997 move to epsilon
2065019301 1   258.94829866    24.81967369 draw to delta
2079020571 1   262.87154675    26.09765560 draw to lambda
2085030621 1   266.79850426    27.71658142 draw to mu
2102027721 1   269.62032519    29.24708196 draw to xi
2103030781 1   272.06616009    28.76602088 draw to omicron
# Horologium
7581016001 0    63.65353098   -42.24803601 move to alpha
8056011641 1    40.79293054   -50.72275311 draw to iota
8484015041 1    39.50288234   -52.46352449 draw to eta
8491016001 1    40.30864192   -54.47129146 draw to zeta
8498013511 1    46.01408851   -59.66601384 draw to mu
8862014901 1    44.78717472   -63.99813494 draw to beta
# Hydra
6738013811 0   211.85710322   -26.76963211 move to pi
6700014361 1   199.98227406   -23.26829325 draw to gamma
7226016501 1   178.46240397   -34.01104733 draw to beta
7216012611 1   173.48071278   -31.95983931 draw to xi
6075018311 1   162.63399472   -16.29237980 draw to nu
6061011341 1   156.74758148   -16.93065521 draw to mu
5485013101 1   152.87416656   -12.44542040 draw to lambda
5485013091 1   151.50677425   -13.15510581 draw to upsilon 2
5487016531 1   148.09203148   -14.93388490 draw to upsilon 1
5460015921 1   142.12422426    -8.73986400 draw to alpha
4894025291 1   145.19971467    -1.22711794 draw to iota
0227025441 1   138.83054911     2.23762770 draw to theta
